"World TOP 20 Countries with highest primary energy consumption 
 in 2014 (Mtoe)",Energy,Biodiesel,Biomass and Waste Elec,Coal,Fuel Ethanol,Gas,Geothermal Elec,Hydroelectricity,Nuclear,Oil,"Solar, Tide and Wave Elec",Wind Elec
Azerbaijan,,-,-,-,-,10.90,-,0.13,-,5.03,-,0.00
Ecuador,,-,0.04,-,-,0.63,-,0.94,-,13.48,0.00,0.00
Serbia,,0.00,0.00,8.20,-,2.04,-,0.74,-,3.67,-,-
Denmark,,0.03,0.45,2.01,0.01,3.14,-,0.00,-,7.81,0.05,1.13
Ireland,,0.07,0.12,1.43,-,4.20,-,0.05,-,7.22,0.00,0.52
Slovakia,,0.12,0.06,1.69,0.03,3.67,-,0.41,3.58,3.72,0.03,0.00
Cuba,,-,0.04,0.01,0.01,0.96,-,0.01,-,8.73,0.00,0.00
Puerto Rico,,-,-,0.71,-,1.55,-,0.01,-,6.78,-,-
Tunisia,,-,-,-,-,4.00,-,0.01,-,4.49,-,0.05
Croatia,,0.04,0.00,0.63,-,2.57,-,0.68,-,3.82,-,0.01
Dominican Republic,,-,0.00,0.28,-,1.35,-,0.16,-,5.90,-,0.01
Jordan,,-,0.00,-,-,0.92,-,0.00,-,6.72,-,0.00
Bosnia and Herzegovina,,-,-,4.99,-,0.21,-,0.60,-,1.73,0.09,-
Yemen,,-,-,-,-,0.68,-,-,-,6.72,-,-
Panama,,-,0.01,0.04,-,-,-,0.42,-,6.88,-,-
Paraguay,,0.01,-,0.00,0.07,-,-,5.14,-,1.80,-,-
Bolivia,,-,0.01,-,-,2.98,-,0.18,-,3.64,0.00,-
Burma,,-,-,0.71,-,4.22,-,0.55,-,1.31,-,-
Angola,,-,-,-,-,0.43,-,0.37,-,5.84,-,-
Lebanon,,-,-,0.13,-,-,-,0.07,-,6.27,-,-
Slovenia,,0.04,0.02,1.34,-,0.69,-,0.39,1.26,2.49,0.02,-
Sri Lanka,,-,0.00,0.34,-,-,-,0.23,-,5.68,0.00,0.00
Mongolia,,-,-,4.86,-,-,-,-,-,1.26,0.00,0.00
Lithuania,,0.04,0.03,0.13,0.00,2.73,-,0.04,-,2.72,-,0.07
United States Virgin Islands,,-,-,-,-,-,-,-,-,5.60,-,-
Kenya,,-,0.03,0.22,-,-,0.13,0.40,-,4.38,-,0.00
Guatemala,,0.00,0.20,0.32,0.23,-,0.02,0.35,-,3.54,-,-
Ghana,,-,-,-,-,-,-,0.75,-,3.91,-,-
Netherlands Antilles,,-,-,-,-,-,-,-,-,4.62,-,0.01
Kyrgyzstan,,-,-,0.79,-,0.37,-,1.13,-,1.67,-,-
Luxembourg,,-,0.01,0.04,-,0.95,-,0.01,-,2.87,0.00,-
Uruguay,,0.01,0.08,0.00,0.00,-,-,0.43,-,3.29,-,0.01
Moldova,,-,-,0.07,-,2.83,-,0.02,-,0.81,-,-
Brunei Darussalam,,-,-,-,-,2.78,-,-,-,0.95,-,-
Georgia,,-,-,0.11,-,1.89,-,0.58,-,1.07,-,0.00
Armenia,,-,-,-,-,2.21,-,0.19,0.58,0.44,-,0.00
Latvia,,0.03,0.03,0.15,0.00,1.23,-,0.25,-,1.69,-,0.01
Costa Rica,,-,0.02,0.04,-,-,0.13,0.57,-,2.57,0.00,0.04
Ethiopia,,-,-,-,0.00,-,0.00,0.61,-,2.66,0.00,0.01
C“te d'Ivoire,,-,0.01,-,-,1.53,-,0.17,-,1.36,-,-
Zimbabwe,,0.00,0.01,1.74,0.00,-,-,0.50,-,0.73,-,-
Afghanistan,,-,-,0.46,-,0.15,-,0.05,-,2.26,-,0.00
United Republic of Tanzania,,0.00,-,0.06,-,0.87,-,0.15,-,1.83,-,-
Tajikistan,,-,-,0.09,-,0.19,-,1.35,-,1.27,-,-
Jamaica,,-,0.09,0.06,-,-,-,0.01,-,2.72,-,0.01
Honduras,,-,0.02,0.06,-,-,-,0.22,-,2.52,-,0.05
Gibraltar,,-,-,-,-,-,-,-,-,2.70,0.09,-
Cyprus,,0.01,0.00,0.01,-,-,-,-,-,2.70,0.00,0.02
Cameroon,,-,0.01,-,-,0.30,-,0.42,-,1.98,-,-
El Salvador,,-,0.03,-,-,-,0.14,0.15,-,2.31,-,-
Iceland,,0.00,-,0.07,-,-,0.50,1.09,-,0.84,-,-
Mozambique,,0.00,-,0.04,-,0.17,-,1.40,-,0.89,-,-
Macedonia,,0.00,-,1.28,-,0.09,-,0.13,-,0.97,-,0.01
Congo,,-,-,-,-,1.50,-,0.08,-,0.78,-,-
Estonia,,0.00,0.09,0.03,-,0.48,-,0.00,-,1.63,-,0.06
Senegal,,-,0.00,0.18,-,0.04,-,0.03,-,1.98,0.00,-
Malta,,0.00,0.00,-,-,-,-,-,-,2.10,-,-
Zambia,,-,-,-,-,-,-,1.09,-,0.94,-,-
Democratic Republic of the Congo,,-,-,0.22,-,-,-,0.73,-,1.04,-,-
Albania,,-,-,0.06,-,0.02,-,0.59,-,1.27,-,-
Nicaragua,,-,0.04,0.03,-,-,0.05,0.04,-,1.54,-,0.02
Benin,,-,0.00,-,-,-,-,0.00,-,1.62,-,-
Mauritius,,-,0.04,0.30,-,-,-,0.01,-,1.25,-,0.00
Nepal,,-,-,0.30,-,-,-,0.25,-,1.05,-,-
Equatorial Guinea,,-,-,-,-,1.34,-,0.00,-,0.26,-,-
Cambodia,,0.04,0.00,0.03,-,-,-,0.04,-,1.47,0.00,-
Uganda,,-,0.01,-,-,-,-,0.23,-,1.15,-,-
Botswana,,-,-,0.43,-,-,-,-,-,0.94,-,-
Gabon,,-,0.00,-,-,0.35,-,0.08,-,0.94,-,-
Papua New Guinea,,-,0.12,-,-,0.10,0.03,0.05,-,1.05,-,-
Namibia,,-,-,0.01,-,-,-,0.15,-,1.15,-,-
Lao People's Democratic Republic,,-,-,0.23,-,-,-,0.79,-,0.17,-,-
Bahamas,,-,-,-,-,-,-,-,-,1.18,-,-
R‚union,,-,0.03,-,-,-,-,0.06,-,1.04,0.00,0.00
New Caledonia,,-,-,0.14,-,-,-,0.03,-,0.76,-,0.00
Montenegro,,-,-,0.41,-,-,-,0.22,-,0.30,-,-
Suriname,,-,-,-,-,-,-,0.05,-,0.87,-,-
Martinique,,-,-,-,-,-,-,-,-,0.87,-,0.00
Haiti,,-,-,-,-,-,-,0.01,-,0.77,-,-
Guadeloupe,,-,0.01,-,-,-,0.01,-,-,0.75,-,0.00
Madagascar,,-,-,0.01,-,-,-,0.12,-,0.63,-,-
Sudan,,-,0.04,-,-,-,-,0.71,-,-,-,-
Togo,,-,0.00,-,-,-,-,0.01,-,0.68,-,-
Mauritania,,-,-,-,-,-,-,0.01,-,0.67,-,-
Burkina Faso,,-,-,-,-,-,-,0.01,-,0.63,-,-
Guam,,-,-,-,-,-,-,-,-,0.63,-,-
Bhutan,,-,-,0.02,-,-,-,0.48,-,0.11,-,-
Macao Special Administrative Region (China),,-,-,-,-,-,-,-,-,0.56,-,-
Guyana,,-,-,-,-,-,-,-,-,0.55,-,-
Fiji,,0.00,0.00,-,-,-,-,0.04,-,0.49,0.00,0.00
Malawi,,-,-,0.03,0.01,-,-,0.18,-,0.31,-,-
Barbados,,0.04,-,-,-,0.02,-,-,-,0.46,-,-
Guinea,,-,-,-,-,-,-,0.05,-,0.47,-,-
Wake Island,,-,-,-,-,-,-,-,-,0.49,-,-
Djibouti,,-,-,-,-,-,-,-,-,0.42,-,-
Niger,,-,-,0.14,-,-,-,-,-,0.26,-,-
French Polynesia,,-,-,-,-,-,-,0.01,-,0.37,-,-
Maldives,,-,-,-,-,-,-,-,-,0.36,0.00,-
Greenland,,-,-,-,-,-,-,-,-,0.36,-,-
Seychelles,,-,-,-,-,-,-,-,-,0.35,-,-
Aruba,,-,-,-,-,-,-,-,-,0.33,-,0.01
Swaziland,,-,-,0.07,-,-,-,0.01,-,0.25,-,-
French Guiana,,-,0.00,-,-,-,-,0.04,-,0.28,-,-
Mali,,-,-,-,-,-,-,0.07,-,0.25,-,-
Somalia,,-,-,-,-,-,-,-,-,0.29,-,-
Rwanda,,0.00,-,-,-,-,-,0.01,-,0.28,0.00,-
Faeroe Islands,,-,-,-,-,-,-,0.01,-,0.25,-,0.00
Antigua and Barbuda,,-,-,-,-,-,-,-,-,0.25,-,-
Sierra Leone,,-,-,-,-,-,-,0.01,-,0.23,-,-
Bermuda,,-,-,-,-,-,-,-,-,0.23,-,-
Belize,,-,0.02,-,-,-,-,0.02,-,0.18,0.00,0.00
Liberia,,-,-,-,-,-,-,-,-,0.20,-,-
Cayman Islands,,-,-,-,-,-,-,-,-,0.19,-,-
Eritrea,,-,-,-,-,-,-,-,-,0.18,0.00,-
Gambia,,-,-,-,-,-,-,-,-,0.16,-,-
Saint Lucia,,-,-,-,-,-,-,-,-,0.15,-,-
Guinea-Bissau,,-,-,-,-,-,-,-,-,0.14,-,-
Cape Verde,,-,-,-,-,-,-,-,-,0.14,-,0.00
Central African Republic,,-,-,-,-,-,-,0.01,-,0.12,-,-
Lesotho,,-,-,-,-,-,-,0.05,-,0.08,-,-
American Samoa,,-,-,-,-,-,-,-,-,0.12,-,-
U.S. Pacific Islands,,-,-,-,-,-,-,0.00,-,0.11,-,-
Grenada,,-,-,-,-,-,-,-,-,0.10,-,-
Burundi,,-,-,-,-,-,-,0.02,-,0.08,-,-
Chad,,-,-,-,-,-,-,-,-,0.09,-,-
Western Sahara,,-,-,-,-,-,-,-,-,0.09,-,-
Saint Kitts and Nevis,,-,-,-,-,-,-,-,-,0.09,-,-
Saint Vincent and the Grenadines,,-,-,-,-,-,-,0.00,-,0.08,-,-
Solomon Islands,,-,-,-,-,-,-,-,-,0.08,-,-
Timor-Leste,,-,-,-,-,-,-,-,-,0.07,-,-
Turks and Caicos Islands,,-,-,-,-,-,-,-,-,0.07,-,-
Tonga,,-,-,-,-,-,-,-,-,0.06,-,-
Samoa,,-,-,-,-,-,-,0.00,-,0.06,0.00,-
Comoros,,-,-,-,-,-,-,0.00,-,0.05,-,-
Nauru,,-,-,-,-,-,-,-,-,0.05,-,-
Vanuatu,,-,-,-,-,-,-,-,-,0.05,-,-
Dominica,,-,-,-,-,-,-,0.00,-,0.05,-,0.00
Sao Tome and Principe,,-,-,-,-,-,-,0.00,-,0.05,-,-
British Virgin Islands,,-,-,-,-,-,-,-,-,0.04,-,-
Saint Pierre and Miquelon,,-,-,-,-,-,-,-,-,0.03,-,-
Montserrat,,-,-,-,-,-,-,-,-,0.03,-,-
Cook Islands,,-,-,-,-,-,-,-,-,0.03,0.00,0.00
Kiribati,,-,-,-,-,-,-,-,-,0.02,-,-
Falkland Islands (Malvinas),,-,-,-,-,-,-,-,-,0.02,-,0.00
Saint Helena,,-,-,-,-,-,-,-,-,0.00,-,-
Niue,,-,-,-,-,-,-,-,-,0.00,-,-
